id,timestamp,strike,spot,call_oi,put_oi,call_price,put_price,call_volume,put_volume,call_delta,put_delta,call_gamma,put_gamma,call_iv,put_iv,expiry
23626,2021-05-20 09:15:00,14800.0,15060.2,888450,3242700,261.95,2.6,19425,723150,0.675929,-0.353271,0.00055444,0.00046103,30.536594,37.964977,2021-05-27
18376,2021-05-20 09:15:00,14850.0,15060.2,151425,1358325,213.85,4.05,16725,503475,0.641873,-0.368884,0.00055088,0.00050599,31.926398,35.10851,2021-05-27
13126,2021-05-20 09:15:00,14900.0,15060.2,1298325,3641475,165.55,7.1,71850,810075,0.623468,-0.389438,0.00061886,0.0005471,28.894072,33.014458,2021-05-27
7876,2021-05-20 09:15:00,14950.0,15060.2,363675,1121925,121.65,12.7,68775,526575,0.591889,-0.413397,0.00063306,0.00058961,28.888014,31.11225,2021-05-27
2626,2021-05-20 09:15:00,15000.0,15060.2,2071575,2893725,81.95,22.95,586725,1415700,0.561202,-0.441263,0.00066363,0.00062766,27.978053,29.609489,2021-05-27
1,2021-05-20 09:15:00,15050.0,15060.2,1437525,813600,50.25,41.1,832500,541875,0.527901,-0.472647,0.00067741,0.0006464,27.667858,28.998204,2021-05-27
5251,2021-05-20 09:15:00,15100.0,15060.2,3956850,1632825,26.9,68.45,1330800,474525,0.493557,-0.505012,0.00069316,0.00064854,27.101967,28.968135,2021-05-27
10501,2021-05-20 09:15:00,15150.0,15060.2,1776000,159975,11.6,102.95,839475,47550,0.456712,-0.538599,0.00071897,0.00066195,25.978783,28.250813,2021-05-27
15751,2021-05-20 09:15:00,15200.0,15060.2,4118025,330450,4.3,145.15,1458675,70875,0.41981,-0.570404,0.00071972,0.00064805,25.576095,28.539626,2021-05-27
21001,2021-05-20 09:15:00,15250.0,15060.2,2238075,69525,1.8,193.85,657450,5400,0.39036,-0.584438,0.00067445,0.00054629,26.798754,33.619566,2021-05-27
26251,2021-05-20 09:15:00,15300.0,15060.2,4201050,425850,1.1,242.65,1152375,5100,0.372987,-0.59693,0.0005978,0.00048212,29.822958,37.815082,2021-05-27
23627,2021-05-20 09:16:00,14800.0,15058.7,888450,3242700,259.0,2.55,10050,465075,,-0.353121,,0.00046426,0.0,37.700745,2021-05-27
18377,2021-05-20 09:16:00,14850.0,15058.7,151425,1358325,209.05,3.8,3975,326775,,-0.367653,,0.00051489,0.0,34.468494,2021-05-27
13127,2021-05-20 09:16:00,14900.0,15058.7,1298325,3641475,163.3,7.0,58350,720825,0.628021,-0.389418,0.00064927,0.00055231,27.439,32.707352,2021-05-27
7877,2021-05-20 09:16:00,14950.0,15058.7,363675,1121925,119.3,12.65,46275,434325,0.593755,-0.413702,0.00065657,0.00059486,27.82641,30.847723,2021-05-27
2627,2021-05-20 09:16:00,15000.0,15058.7,2071575,2893725,79.35,22.85,502950,1071375,0.561988,-0.441705,0.0006901,0.0006355,26.900584,29.253317,2021-05-27
2,2021-05-20 09:16:00,15050.0,15058.7,1437525,813600,47.15,40.65,532050,466875,0.527507,-0.473372,0.00071362,0.00066207,26.269687,28.319573,2021-05-27
5252,2021-05-20 09:16:00,15100.0,15058.7,3956850,1632825,24.0,68.2,1165125,387450,0.491169,-0.506578,0.00073505,0.00066596,25.558376,28.213025,2021-05-27
10502,2021-05-20 09:16:00,15150.0,15058.7,1776000,159975,9.7,103.85,846825,40650,0.452203,-0.539985,0.00076035,0.00066649,24.536425,28.052823,2021-05-27
15752,2021-05-20 09:16:00,15200.0,15058.7,4118025,330450,3.4,147.3,1174350,91875,0.414038,-0.568231,0.00075346,0.00062522,24.358669,29.614996,2021-05-27
21002,2021-05-20 09:16:00,15250.0,15058.7,2238075,69525,1.55,195.65,674550,6600,0.386892,-0.583094,0.00068633,0.00053522,26.271383,34.345017,2021-05-27
26252,2021-05-20 09:16:00,15300.0,15058.7,4201050,425850,1.2,244.6,964875,7425,0.374944,-0.594225,0.00058661,0.00046879,30.446641,38.961185,2021-05-27
23628,2021-05-20 09:17:00,14800.0,15067.7999,889950,3467175,268.1,2.3,16425,507600,,-0.3501,,0.00045809,0.0,38.068693,2021-05-27
18378,2021-05-20 09:17:00,14850.0,15067.7999,149700,1439100,221.15,3.35,3975,413025,0.645201,-0.363755,0.00054501,0.00050924,32.151533,34.707912,2021-05-27
13128,2021-05-20 09:17:00,14900.0,15067.7999,1300650,3861825,172.3,5.8,68400,632250,0.629751,-0.383428,0.00062429,0.00055515,28.477993,32.375279,2021-05-27
7878,2021-05-20 09:17:00,14950.0,15067.7999,402075,1325175,127.0,10.4,40575,330150,0.599669,-0.406819,0.00065335,0.00060407,27.843559,30.238582,2021-05-27
2628,2021-05-20 09:17:00,15000.0,15067.7999,2131425,3388275,85.15,19.2,483000,1049250,0.569427,-0.434742,0.00070276,0.00064924,26.318827,28.539657,2021-05-27
3,2021-05-20 09:17:00,15050.0,15067.7999,1667400,1038750,51.75,35.4,453900,386850,0.534181,-0.466922,0.0007192,0.00067774,26.017828,27.615597,2021-05-27
5253,2021-05-20 09:17:00,15100.0,15067.7999,4413225,1697100,27.35,61.35,805575,331950,0.497886,-0.500954,0.00073338,0.0006835,25.608231,27.47758,2021-05-27
10503,2021-05-20 09:17:00,15150.0,15067.7999,2164875,178800,11.6,95.45,493575,36675,0.459454,-0.535864,0.00075685,0.00069308,24.686295,26.988176,2021-05-27
15753,2021-05-20 09:17:00,15200.0,15067.7999,4673025,387750,4.35,138.2,814350,56025,0.422035,-0.566227,0.00074687,0.00065494,24.664441,28.27958,2021-05-27
21003,2021-05-20 09:17:00,15250.0,15067.7999,2126850,70950,1.9,183.7,309825,3525,0.393072,-0.599802,0.00068946,0.00065143,26.255643,27.923306,2021-05-27
26253,2021-05-20 09:17:00,15300.0,15067.7999,4615275,430350,1.25,237.15,609075,5775,0.377008,-0.585022,0.00060187,0.00044998,29.709236,40.785497,2021-05-27
23629,2021-05-20 09:18:00,14800.0,15058.1,889950,3467175,260.65,2.55,10800,391350,0.658438,-0.353487,0.00050378,0.00046412,34.32364,37.731316,2021-05-27
18379,2021-05-20 09:18:00,14850.0,15058.1,149700,1439100,211.6,3.7,2100,361200,0.642531,-0.367358,0.00055909,0.00051764,31.446062,34.281197,2021-05-27
13129,2021-05-20 09:18:00,14900.0,15058.1,1300650,3861825,164.4,6.5,78900,526875,0.617625,-0.387853,0.00059436,0.00056336,30.235886,32.033299,2021-05-27
7879,2021-05-20 09:18:00,14950.0,15058.1,402075,1325175,119.75,11.85,22875,363675,0.590642,-0.412308,0.00063437,0.00060977,28.857928,30.073475,2021-05-27
2629,2021-05-20 09:18:00,15000.0,15058.1,2131425,3388275,79.85,21.75,436275,882825,0.560334,-0.440859,0.00067196,0.00065416,27.648331,28.413433,2021-05-27
4,2021-05-20 09:18:00,15050.0,15058.1,1667400,1038750,47.4,39.55,361950,329925,0.526881,-0.473468,0.00070225,0.00068121,26.70167,27.527768,2021-05-27
5254,2021-05-20 09:18:00,15100.0,15058.1,4413225,1697100,24.2,66.1,849375,308550,0.49104,-0.508319,0.00072532,0.00070574,25.904494,26.624373,2021-05-27
10504,2021-05-20 09:18:00,15150.0,15058.1,2164875,178800,9.8,101.85,495450,29550,0.452398,-0.54491,0.00075239,0.00072005,24.800943,25.935174,2021-05-27
15754,2021-05-20 09:18:00,15200.0,15058.1,4673025,387750,3.6,145.25,728400,46800,0.415505,-0.579589,0.00073941,0.00070398,24.845163,26.163462,2021-05-27
21004,2021-05-20 09:18:00,15250.0,15058.1,2126850,70950,1.5,193.05,306225,3525,0.386387,-0.60454,0.0006866,0.00064119,26.254643,28.298557,2021-05-27
26254,2021-05-20 09:18:00,15300.0,15058.1,4615275,430350,1.15,242.65,406050,4125,0.37429,-0.615127,0.00058759,0.00054749,30.383152,32.887792,2021-05-27
23630,2021-05-20 09:19:00,14800.0,15053.3999,889950,3467175,257.2,2.5,3375,335700,0.644141,-0.35363,0.00046463,0.00047236,37.792964,37.091769,2021-05-27
18380,2021-05-20 09:19:00,14850.0,15053.3999,149700,1439100,208.2,3.7,4200,448650,0.631626,-0.368037,0.00052514,0.00052661,33.83453,33.729914,2021-05-27
13130,2021-05-20 09:19:00,14900.0,15053.3999,1300650,3861825,161.15,6.6,124275,528225,0.610549,-0.389072,0.00057085,0.00057308,31.661741,31.529876,2021-05-27
7880,2021-05-20 09:19:00,14950.0,15053.3999,402075,1325175,117.15,11.9,28200,303900,0.584794,-0.413519,0.00061069,0.00062545,30.087744,29.350159,2021-05-27
2630,2021-05-20 09:19:00,15000.0,15053.3999,2131425,3388275,76.75,22.1,283125,661725,0.556928,-0.442871,0.00066905,0.00067228,27.813757,27.678176,2021-05-27
5,2021-05-20 09:19:00,15050.0,15053.3999,1667400,1038750,44.8,40.25,333600,310350,0.523591,-0.476391,0.00070395,0.0007054,26.660831,26.605734,2021-05-27
5255,2021-05-20 09:19:00,15100.0,15053.3999,4413225,1697100,22.35,67.9,1081575,240525,0.487484,-0.512504,0.00072929,0.00072898,25.766779,25.777616,2021-05-27
10505,2021-05-20 09:19:00,15150.0,15053.3999,2164875,178800,8.8,104.9,522750,28875,0.448494,-0.550057,0.00075597,0.0007395,24.662134,25.223087,2021-05-27
15755,2021-05-20 09:19:00,15200.0,15053.3999,4673025,387750,3.2,148.55,753525,24225,0.411871,-0.589461,0.00073932,0.00074857,24.80667,24.481241,2021-05-27
21005,2021-05-20 09:19:00,15250.0,15053.3999,2126850,70950,1.4,197.85,208875,1125,0.384324,-0.604054,0.0006795,0.000623,26.496966,29.145132,2021-05-27
26255,2021-05-20 09:19:00,15300.0,15053.3999,4615275,430350,1.05,245.75,310725,1875,0.371979,-0.659242,0.00058474,0.00069689,30.482353,24.799221,2021-05-27
23631,2021-05-20 09:20:00,14800.0,15062.1,893475,3635475,260.0,2.3,6600,473250,,-0.35109,,0.00046493,0.0,37.566711,2021-05-27
18381,2021-05-20 09:20:00,14850.0,15062.1,149775,1624275,209.85,3.25,7500,404625,,-0.364089,,0.00052154,0.0,33.91789,2021-05-27
13131,2021-05-20 09:20:00,14900.0,15062.1,1206000,4052850,163.6,5.8,118725,946800,0.677284,-0.384611,0.00087845,0.00056777,19.242227,31.701442,2021-05-27
7881,2021-05-20 09:20:00,14950.0,15062.1,414900,1502250,118.3,10.8,51825,414600,0.610677,-0.409236,0.00076867,0.0006139,23.498968,29.81309,2021-05-27
2631,2021-05-20 09:20:00,15000.0,15062.1,2162400,3908325,78.3,20.9,402450,860775,0.569406,-0.438738,0.00075838,0.00064638,24.401341,28.727377,2021-05-27
6,2021-05-20 09:20:00,15050.0,15062.1,1734000,1290750,45.95,38.15,543600,484725,0.531071,-0.470915,0.00076514,0.00067234,24.484021,27.873979,2021-05-27
5256,2021-05-20 09:20:00,15100.0,15062.1,4902375,1870050,23.0,65.5,1903650,465825,0.492533,-0.504479,0.00077575,0.00067118,24.218391,27.994864,2021-05-27
10506,2021-05-20 09:20:00,15150.0,15062.1,2436450,198600,9.05,101.9,694575,59925,0.452111,-0.536365,0.00079494,0.00064999,23.467219,28.7888,2021-05-27
15756,2021-05-20 09:20:00,15200.0,15062.1,5088900,381750,3.2,146.05,1106550,54300,0.413887,-0.560551,0.00077463,0.00058487,23.690152,31.757099,2021-05-27
21006,2021-05-20 09:20:00,15250.0,15062.1,2251200,72300,1.5,193.75,351825,7200,0.387307,-0.575963,0.00069718,0.00050844,25.869849,36.285602,2021-05-27
26256,2021-05-20 09:20:00,15300.0,15062.1,4802775,433875,1.15,243.55,485400,5025,0.375066,-0.582332,0.00059465,0.00042913,30.036958,42.852335,2021-05-27
23632,2021-05-20 09:21:00,14800.0,15050.8999,893475,3635475,251.7,2.35,4425,428100,,-0.352766,,0.00048013,0.0,36.46883,2021-05-27
18382,2021-05-20 09:21:00,14850.0,15050.8999,149775,1624275,203.0,3.3,4350,345900,0.660901,-0.365845,0.00065442,0.00054274,26.366251,32.671419,2021-05-27
13132,2021-05-20 09:21:00,14900.0,15050.8999,1206000,4052850,155.05,6.2,53775,702600,0.629639,-0.38809,0.00069032,0.00058818,25.790552,30.706126,2021-05-27
7882,2021-05-20 09:21:00,14950.0,15050.8999,414900,1502250,111.7,12.2,35400,304800,0.591043,-0.414899,0.00068011,0.00062777,26.927454,29.272063,2021-05-27
2632,2021-05-20 09:21:00,15000.0,15050.8999,2162400,3908325,72.0,23.25,221850,536550,0.558477,-0.445018,0.00072276,0.00066503,25.739128,28.008654,2021-05-27
7,2021-05-20 09:21:00,15050.0,15050.8999,1734000,1290750,41.2,42.2,310275,309825,0.522224,-0.478289,0.00074278,0.00069196,25.278449,27.137196,2021-05-27
5257,2021-05-20 09:21:00,15100.0,15050.8999,4902375,1870050,20.35,71.75,1241850,226500,0.484786,-0.51265,0.00075147,0.00068723,25.006757,27.350483,2021-05-27
10507,2021-05-20 09:21:00,15150.0,15050.8999,2436450,198600,7.7,108.8,574650,37125,0.444801,-0.547417,0.00077556,0.00069004,24.0153,27.060101,2021-05-27
15757,2021-05-20 09:21:00,15200.0,15050.8999,5088900,381750,2.75,154.5,846450,47850,0.408094,-0.571435,0.00075177,0.00061287,24.348364,30.190989,2021-05-27
21007,2021-05-20 09:21:00,15250.0,15050.8999,2251200,72300,1.35,202.4,222000,2475,0.383493,-0.588907,0.00067457,0.00054212,26.680367,33.823788,2021-05-27
26257,2021-05-20 09:21:00,15300.0,15050.8999,4802775,433875,1.1,252.25,358275,3075,0.373121,-0.595178,0.00057462,0.00045797,31.05743,39.888658,2021-05-27
23633,2021-05-20 09:22:00,14800.0,15041.3999,893475,3635475,239.65,2.55,14925,765900,,-0.355696,,0.00048861,0.0,35.966215,2021-05-27
18383,2021-05-20 09:22:00,14850.0,15041.3999,149775,1624275,190.0,3.8,10350,443925,,-0.370514,,0.00054791,0.0,32.520575,2021-05-27
13133,2021-05-20 09:22:00,14900.0,15041.3999,1206000,4052850,144.2,7.55,117150,961125,0.642752,-0.394775,0.00080985,0.00058402,21.732937,31.094607,2021-05-27
7883,2021-05-20 09:22:00,14950.0,15041.3999,414900,1502250,100.8,14.75,83925,659175,0.593106,-0.422101,0.00076366,0.00061805,23.968258,29.865774,2021-05-27
2633,2021-05-20 09:22:00,15000.0,15041.3999,2162400,3908325,64.55,27.65,429600,1144875,0.55257,-0.452317,0.00074367,0.00064713,25.084662,28.87186,2021-05-27
8,2021-05-20 09:22:00,15050.0,15041.3999,1734000,1290750,36.05,49.25,721725,819225,0.515172,-0.484842,0.00075211,0.00065817,25.002747,28.571496,2021-05-27
5258,2021-05-20 09:22:00,15100.0,15041.3999,4902375,1870050,17.7,80.6,1919325,498375,0.477907,-0.517111,0.00074597,0.00064676,25.187918,29.069724,2021-05-27
10508,2021-05-20 09:22:00,15150.0,15041.3999,2436450,198600,6.5,119.95,798750,85425,0.43812,-0.546521,0.00076713,0.00061685,24.235154,30.299371,2021-05-27
15758,2021-05-20 09:22:00,15200.0,15041.3999,5088900,381750,2.45,165.45,974700,101850,0.403699,-0.567941,0.00073165,0.00055342,24.967501,33.509467,2021-05-27
21008,2021-05-20 09:22:00,15250.0,15041.3999,2251200,72300,1.2,215.15,423750,10950,0.379777,-0.575779,0.00065951,0.00045805,27.228133,40.340082,2021-05-27
26258,2021-05-20 09:22:00,15300.0,15041.3999,4802775,433875,1.0,263.35,444375,11100,0.370303,-0.587662,0.00056312,0.00041511,31.63635,44.235046,2021-05-27
23634,2021-05-20 09:23:00,14800.0,15043.2,891675,3668700,245.0,2.35,3225,351750,0.671037,-0.353807,0.00057674,0.00049174,29.580134,35.667029,2021-05-27
18384,2021-05-20 09:23:00,14850.0,15043.2,149325,1654425,197.15,3.45,3900,292650,0.636,-0.368093,0.00057237,0.00055391,30.946091,32.097133,2021-05-27
13134,2021-05-20 09:23:00,14900.0,15043.2,1122750,4115775,149.7,6.6,42375,513525,0.613765,-0.391134,0.00063015,0.0005998,28.638766,30.196784,2021-05-27
7884,2021-05-20 09:23:00,14950.0,15043.2,428925,1587750,106.65,13.15,28500,316875,0.582732,-0.41879,0.00065349,0.0006389,28.173281,28.839732,2021-05-27
2634,2021-05-20 09:23:00,15000.0,15043.2,2263500,4035450,68.25,24.9,390600,749625,0.551339,-0.449468,0.00069506,0.00067964,26.847907,27.464415,2021-05-27
9,2021-05-20 09:23:00,15050.0,15043.2,1979100,1354800,38.0,44.95,424725,328125,0.516461,-0.48359,0.00073072,0.0007098,25.729445,26.487693,2021-05-27
5259,2021-05-20 09:23:00,15100.0,15043.2,5241375,1901850,18.5,75.35,678750,229650,0.479579,-0.51935,0.00073899,0.00071641,25.429902,26.234933,2021-05-27
10509,2021-05-20 09:23:00,15150.0,15043.2,2697525,203100,6.8,113.3,467550,28725,0.439788,-0.557744,0.00076454,0.00073956,24.331434,25.176416,2021-05-27
15759,2021-05-20 09:23:00,15200.0,15043.2,5468925,391725,2.5,159.45,650850,36750,0.404647,-0.586104,0.00073452,0.00067532,24.882966,27.212344,2021-05-27
21009,2021-05-20 09:23:00,15250.0,15043.2,2371950,71550,1.25,207.6,98025,2250,0.381085,-0.609907,0.00065951,0.00061837,27.254846,29.267954,2021-05-27
26259,2021-05-20 09:23:00,15300.0,15043.2,4809525,433050,1.0,257.35,245850,4725,0.370657,-0.618574,0.00056586,0.0005279,31.4905,34.058672,2021-05-27
23635,2021-05-20 09:24:00,14800.0,15046.2,891675,3668700,249.0,2.35,4650,358200,0.652737,-0.353683,0.0005086,0.00048615,34.246613,36.067162,2021-05-27
18385,2021-05-20 09:24:00,14850.0,15046.2,149325,1654425,199.95,3.3,2700,268125,0.637867,-0.366817,0.00057202,0.00055126,30.90686,32.20936,2021-05-27
13135,2021-05-20 09:24:00,14900.0,15046.2,1122750,4115775,152.7,6.2,35025,651000,0.614081,-0.389174,0.00061965,0.00059989,29.112319,30.144466,2021-05-27
7885,2021-05-20 09:24:00,14950.0,15046.2,428925,1587750,109.15,12.5,22350,262950,0.58441,-0.416858,0.00065008,0.0006383,28.291188,28.833136,2021-05-27
2635,2021-05-20 09:24:00,15000.0,15046.2,2263500,4035450,70.6,24.0,245325,638250,0.55303,-0.447579,0.00068739,0.00067636,27.128262,27.576362,2021-05-27
10,2021-05-20 09:24:00,15050.0,15046.2,1979100,1354800,39.2,42.9,373950,237525,0.518672,-0.481422,0.00073398,0.00071722,25.604819,26.203453,2021-05-27
5260,2021-05-20 09:24:00,15100.0,15046.2,5241375,1901850,19.05,72.8,594150,173400,0.481521,-0.517565,0.00074525,0.00072459,25.218184,25.940128,2021-05-27
