id,timestamp,strike,spot,call_oi,put_oi,call_price,put_price,call_volume,put_volume,call_delta,put_delta,call_gamma,put_gamma,call_iv,put_iv,expiry
23626,2023-02-14 09:15:00,17600.0,17832.3496,496350,3496700,240.3,17.4,56900,661850,,-0.265003,,0.00078574,0.0,16.580603,2023-02-21
18376,2023-02-14 09:15:00,17650.0,17832.3496,166250,1316800,198.5,25.55,65250,310150,0.796824,-0.304667,0.00112771,0.00084747,9.967957,16.431713,2023-02-21
13126,2023-02-14 09:15:00,17700.0,17832.3496,1439000,4001400,159.0,36.3,653650,1147150,0.710925,-0.346944,0.0012018,0.00090511,11.311863,16.224702,2023-02-21
7876,2023-02-14 09:15:00,17750.0,17832.3496,1321200,1740300,123.9,51.25,448450,544850,0.639678,-0.393223,0.00123746,0.00094528,12.028666,16.181479,2023-02-21
2626,2023-02-14 09:15:00,17800.0,17832.3496,7908400,4828650,93.2,70.2,2330200,1974250,0.573945,-0.441181,0.00125702,0.00097261,12.405857,16.136932,2023-02-21
1,2023-02-14 09:15:00,17850.0,17832.3496,4286850,1107250,67.45,94.35,1236450,649800,0.510335,-0.490159,0.00125629,0.00097595,12.626378,16.253831,2023-02-21
5251,2023-02-14 09:15:00,17900.0,17832.3496,7763550,1473150,47.25,124.0,1595350,579050,0.448806,-0.53784,0.00122511,0.00095251,12.84534,16.583957,2023-02-21
10501,2023-02-14 09:15:00,17950.0,17832.3496,3094400,294550,31.75,157.9,550100,81750,0.390052,-0.58271,0.00117419,0.00091469,12.997219,16.973587,2023-02-21
15751,2023-02-14 09:15:00,18000.0,17832.3496,10321100,1013400,20.4,197.55,1432150,161300,0.33455,-0.620753,0.00110538,0.00084678,13.102128,17.873776,2023-02-21
21001,2023-02-14 09:15:00,18050.0,17832.3496,4556100,87250,12.3,237.95,391300,7500,0.281885,-0.657245,0.00102471,0.00079466,13.108648,18.395956,2023-02-21
26251,2023-02-14 09:15:00,18100.0,17832.3496,6428600,227750,7.6,285.0,597550,14250,0.238042,-0.678984,0.00092102,0.00070705,13.365192,20.143887,2023-02-21
23627,2023-02-14 09:16:00,17550.0,17820.5,44750,2044900,280.85,11.8,6450,296800,,-0.23225,,0.00074357,0.0,16.342592,2023-02-21
18377,2023-02-14 09:16:00,17600.0,17820.5,496350,3496700,237.3,17.5,53900,582700,0.798151,-0.26837,0.00095032,0.00081626,11.790739,16.074142,2023-02-21
13127,2023-02-14 09:16:00,17650.0,17820.5,166250,1316800,194.9,25.7,43350,240000,0.734725,-0.308997,0.0010427,0.00088373,12.509862,15.867268,2023-02-21
7877,2023-02-14 09:16:00,17700.0,17820.5,1439000,4001400,155.9,36.75,418000,788500,0.67492,-0.352959,0.0011115,0.00094557,12.889843,15.639157,2023-02-21
2627,2023-02-14 09:16:00,17750.0,17820.5,1321200,1740300,120.9,51.95,372100,484050,0.615655,-0.400899,0.00116198,0.00099084,13.0872,15.5288,2023-02-21
2,2023-02-14 09:16:00,17800.0,17820.5,7908400,4828650,90.7,71.25,2399600,2112950,0.555833,-0.450915,0.00118953,0.00102302,13.218086,15.404148,2023-02-21
5252,2023-02-14 09:16:00,17850.0,17820.5,4286850,1107250,65.45,96.15,1161350,723400,0.496017,-0.502269,0.00119586,0.00102607,13.277752,15.475352,2023-02-21
10502,2023-02-14 09:16:00,17900.0,17820.5,7763550,1473150,45.55,126.0,1283250,553750,0.437067,-0.552669,0.00117436,0.00100741,13.352911,15.624645,2023-02-21
15752,2023-02-14 09:16:00,17950.0,17820.5,3094400,294550,30.55,161.15,514750,74100,0.380369,-0.599629,0.00112808,0.00096116,13.438419,16.002923,2023-02-21
21002,2023-02-14 09:16:00,18000.0,17820.5,10321100,1013400,19.9,200.0,1482650,168750,0.327555,-0.642409,0.00105884,0.00090325,13.572865,16.447516,2023-02-21
26252,2023-02-14 09:16:00,18050.0,17820.5,4556100,87250,12.25,242.0,308650,8050,0.277674,-0.680005,0.00098015,0.00083676,13.614575,17.010686,2023-02-21
23628,2023-02-14 09:17:00,17550.0,17819.0,42900,2073650,281.85,11.6,9450,325750,0.858897,-0.231533,0.0008124,0.00074869,10.964644,16.20523,2023-02-21
18378,2023-02-14 09:17:00,17600.0,17819.0,492250,3482850,239.7,17.0,54800,601600,0.768026,-0.266878,0.00090626,0.0008254,13.401774,15.853774,2023-02-21
13128,2023-02-14 09:17:00,17650.0,17819.0,167150,1429550,197.55,24.8,55450,308000,0.716185,-0.307089,0.00098738,0.00089854,13.660433,15.56545,2023-02-21
7878,2023-02-14 09:17:00,17700.0,17819.0,1387750,4267500,158.65,35.8,363350,802400,0.663112,-0.351906,0.00105432,0.00096252,13.785627,15.349241,2023-02-21
2628,2023-02-14 09:17:00,17750.0,17819.0,1325750,1956050,123.05,50.8,399500,508650,0.609204,-0.400547,0.00111472,0.00101162,13.709675,15.208444,2023-02-21
3,2023-02-14 09:17:00,17800.0,17819.0,7582750,5538750,93.1,69.95,1700100,1832700,0.552068,-0.451542,0.00114018,0.00104731,13.809823,15.051733,2023-02-21
5253,2023-02-14 09:17:00,17850.0,17819.0,4560400,1559600,67.25,94.45,819950,634500,0.494659,-0.504179,0.00115676,0.00105666,13.727817,15.028809,2023-02-21
10503,2023-02-14 09:17:00,17900.0,17819.0,7880900,1708300,47.35,124.7,1049800,605450,0.43763,-0.555899,0.00113661,0.00103406,13.801298,15.206992,2023-02-21
15753,2023-02-14 09:17:00,17950.0,17819.0,3176850,324450,31.75,159.6,486250,74400,0.381833,-0.604786,0.00110096,0.00099106,13.787363,15.468456,2023-02-21
21003,2023-02-14 09:17:00,18000.0,17819.0,10156250,1057550,20.85,198.0,1061600,311850,0.329936,-0.650623,0.00103722,0.00093813,13.898133,15.707123,2023-02-21
26253,2023-02-14 09:17:00,18050.0,17819.0,4649550,88350,12.9,240.7,434500,10500,0.280439,-0.688739,0.00096471,0.00086221,13.901128,16.317137,2023-02-21
23629,2023-02-14 09:18:00,17550.0,17814.0,42900,2073650,280.6,12.1,2350,289000,0.807656,-0.235114,0.00081352,0.00075594,13.383385,16.192327,2023-02-21
18379,2023-02-14 09:18:00,17600.0,17814.0,492250,3482850,234.15,17.9,26450,521450,0.770342,-0.271595,0.00093043,0.00083047,12.984942,15.901236,2023-02-21
13129,2023-02-14 09:18:00,17650.0,17814.0,167150,1429550,192.05,26.2,27850,198900,0.716439,-0.3126,0.00101536,0.00090033,13.282664,15.660587,2023-02-21
7879,2023-02-14 09:18:00,17700.0,17814.0,1387750,4267500,153.8,37.7,184850,512450,0.660394,-0.357683,0.00107705,0.00096123,13.541076,15.463956,2023-02-21
2629,2023-02-14 09:18:00,17750.0,17814.0,1325750,1956050,119.1,53.25,186600,395450,0.604479,-0.406328,0.00112905,0.00100703,13.585274,15.338673,2023-02-21
4,2023-02-14 09:18:00,17800.0,17814.0,7582750,5538750,89.5,73.1,1317700,1150950,0.546763,-0.457166,0.00115442,0.00103777,13.666682,15.219849,2023-02-21
