id,timestamp,strike,spot,call_oi,put_oi,call_price,put_price,call_volume,put_volume,call_delta,put_delta,call_gamma,put_gamma,call_iv,put_iv,expiry
20283,2023-06-30 09:15:00,18800.0,19054.3,1055750,4770850,286.85,23.6,153850,1150700,0.989343,-0.165532,0.00023363,0.00086532,4.833655,11.523564,2023-07-06
15779,2023-06-30 09:15:00,18850.0,19054.3,422450,1836850,244.4,31.05,50650,506450,0.896639,-0.208334,0.00099782,0.00101869,7.222271,11.28803,2023-07-06
11275,2023-06-30 09:15:00,18900.0,19054.3,2492500,6173500,203.35,40.5,365450,1192200,0.821764,-0.258989,0.00135761,0.00117468,7.700141,11.046901,2023-07-06
6767,2023-06-30 09:15:00,18950.0,19054.3,687000,1958700,165.7,53.05,306400,743200,0.737825,-0.318944,0.00163487,0.00131569,7.987501,10.880648,2023-07-06
2257,2023-06-30 09:15:00,19000.0,19054.3,4688350,4896500,131.25,68.95,2222850,2279700,0.647802,-0.386333,0.00183685,0.00142642,8.101782,10.753261,2023-07-06
1,2023-06-30 09:15:00,19050.0,19054.3,958350,357350,101.35,88.0,1328300,903250,0.551787,-0.458797,0.00193397,0.00150036,8.199381,10.60208,2023-07-06
4513,2023-06-30 09:15:00,19100.0,19054.3,2863900,743500,75.25,112.25,2717600,1414400,0.454565,-0.533999,0.00193979,0.00150213,8.190808,10.607743,2023-07-06
9021,2023-06-30 09:15:00,19150.0,19054.3,1352700,200400,54.1,140.9,1030900,245850,0.360269,-0.607027,0.00183046,0.00144292,8.19521,10.68203,2023-07-06
13527,2023-06-30 09:15:00,19200.0,19054.3,3354700,309550,37.2,174.3,1654850,325150,0.273124,-0.673312,0.0016336,0.00132784,8.16028,10.888579,2023-07-06
18032,2023-06-30 09:15:00,19250.0,19054.3,1191050,17600,24.5,211.95,644650,27900,0.197446,-0.729559,0.00137096,0.00118048,8.122884,11.237188,2023-07-06
22534,2023-06-30 09:15:00,19300.0,19054.3,3375100,42750,15.35,253.0,1555000,53850,0.135367,-0.77488,0.00107996,0.0010265,8.074181,11.715677,2023-07-06
20284,2023-06-30 09:16:00,18800.0,19070.75,1055750,4770850,304.2,21.65,78350,761300,0.973911,-0.153536,0.00039929,0.00081671,6.075997,11.613285,2023-07-06
15780,2023-06-30 09:16:00,18850.0,19070.75,422450,1836850,260.0,28.05,55600,503450,0.9077,-0.192325,0.00089904,0.00096866,7.37161,11.305064,2023-07-06
11276,2023-06-30 09:16:00,18900.0,19070.75,2492500,6173500,217.75,36.65,246500,1089800,0.840642,-0.240159,0.00124885,0.00112698,7.783247,11.052829,2023-07-06
6768,2023-06-30 09:16:00,18950.0,19070.75,687000,1958700,179.5,47.8,219650,904300,0.759781,-0.296808,0.00152974,0.00127952,8.143862,10.83139,2023-07-06
2258,2023-06-30 09:16:00,19000.0,19070.75,4688350,4896500,143.4,62.15,1556450,1743350,0.675442,-0.361946,0.00175558,0.00140885,8.207046,10.656063,2023-07-06
2,2023-06-30 09:16:00,19050.0,19070.75,958350,357350,111.95,79.8,1286150,942950,0.582499,-0.43356,0.00188529,0.0015027,8.293917,10.485999,2023-07-06
4514,2023-06-30 09:16:00,19100.0,19070.75,2863900,743500,84.45,102.5,2506900,939000,0.486803,-0.50946,0.00192392,0.0015269,8.301073,10.462282,2023-07-06
9022,2023-06-30 09:16:00,19150.0,19070.75,1352700,200400,61.5,129.95,962700,123950,0.391964,-0.584334,0.00185747,0.0014826,8.285346,10.536195,2023-07-06
13528,2023-06-30 09:16:00,19200.0,19070.75,3354700,309550,43.0,161.5,1509650,502950,0.302538,-0.654418,0.00169531,0.00138548,8.245989,10.658261,2023-07-06
18033,2023-06-30 09:16:00,19250.0,19070.75,1191050,17600,28.85,196.7,619050,33200,0.223088,-0.717286,0.00145687,0.00125209,8.205774,10.818843,2023-07-06
22535,2023-06-30 09:16:00,19300.0,19070.75,3375100,42750,18.5,236.45,1015800,42050,0.156566,-0.767946,0.0011771,0.00109197,8.162376,11.193494,2023-07-06
20285,2023-06-30 09:17:00,18800.0,19072.95,1088850,5056250,303.45,21.1,52850,686500,,-0.15089,,0.00081016,0.0,11.572187,2023-07-06
15781,2023-06-30 09:17:00,18850.0,19072.95,439450,2035100,258.3,27.4,37150,441700,0.944656,-0.189398,0.00072448,0.00096278,6.18018,11.266865,2023-07-06
11277,2023-06-30 09:17:00,18900.0,19072.95,2483600,6563100,217.8,35.65,176100,926250,0.853827,-0.236368,0.00123183,0.00112391,7.450996,10.986203,2023-07-06
6769,2023-06-30 09:17:00,18950.0,19072.95,704900,2097150,178.05,46.55,134550,527050,0.775234,-0.292729,0.00155711,0.00128015,7.709797,10.756588,2023-07-06
2259,2023-06-30 09:17:00,19000.0,19072.95,5128350,6333450,142.95,61.3,974700,1301800,0.683945,-0.358731,0.00178575,0.00140571,7.978842,10.646474,2023-07-06
3,2023-06-30 09:17:00,19050.0,19072.95,1689300,1215150,111.25,79.2,824150,695700,0.588761,-0.430454,0.00192777,0.00149593,8.08254,10.518555,2023-07-06
4515,2023-06-30 09:17:00,19100.0,19072.95,3840500,1650900,83.95,102.05,1603050,876850,0.490766,-0.506035,0.00196276,0.00151785,8.138628,10.525796,2023-07-06
9023,2023-06-30 09:17:00,19150.0,19072.95,1657550,337100,61.0,129.8,702900,194650,0.394172,-0.580182,0.00189327,0.00147022,8.140873,10.647812,2023-07-06
13529,2023-06-30 09:17:00,19200.0,19072.95,3634200,678100,42.9,161.85,1071200,240450,0.304267,-0.648806,0.00171826,0.00136963,8.156129,10.844963,2023-07-06
18034,2023-06-30 09:17:00,19250.0,19072.95,1345250,61850,29.05,198.0,559950,46600,0.225114,-0.708732,0.0014718,0.00123264,8.163849,11.145104,2023-07-06
22536,2023-06-30 09:17:00,19300.0,19072.95,3627050,112300,18.8,238.55,961800,27950,0.158803,-0.756274,0.00118975,0.0010763,8.150699,11.665506,2023-07-06
20286,2023-06-30 09:18:00,18800.0,19068.75,1088850,5056250,301.85,20.95,25300,1406650,0.979138,-0.151564,0.00034941,0.0008222,5.753712,11.439716,2023-07-06
15782,2023-06-30 09:18:00,18850.0,19068.75,439450,2035100,257.6,27.0,58600,405600,0.910299,-0.189779,0.00089832,0.00097953,7.224375,11.091003,2023-07-06
11278,2023-06-30 09:18:00,18900.0,19068.75,2483600,6563100,215.45,35.0,183900,1624850,0.841302,-0.236895,0.00126222,0.00114779,7.681539,10.773761,2023-07-06
6770,2023-06-30 09:18:00,18950.0,19068.75,704900,2097150,176.2,46.1,118400,718600,0.76301,-0.294866,0.00156356,0.00130827,7.910634,10.563764,2023-07-06
2260,2023-06-30 09:18:00,19000.0,19068.75,5128350,6333450,140.4,60.75,897700,1585150,0.675498,-0.362058,0.00179579,0.00143987,8.024438,10.429823,2023-07-06
4,2023-06-30 09:18:00,19050.0,19068.75,1689300,1215150,109.05,78.7,554050,644850,0.580303,-0.435463,0.00192847,0.00153311,8.119348,10.288376,2023-07-06
4516,2023-06-30 09:18:00,19100.0,19068.75,3840500,1650900,81.75,101.55,995450,685400,0.482503,-0.512861,0.00196327,0.00155566,8.133077,10.268613,2023-07-06
9024,2023-06-30 09:18:00,19150.0,19068.75,1657550,337100,59.15,128.95,560350,123350,0.386065,-0.589234,0.00188538,0.00150998,8.129153,10.318894,2023-07-06
13530,2023-06-30 09:18:00,19200.0,19068.75,3634200,678100,41.0,161.25,1039700,226450,0.295641,-0.659602,0.00170944,0.00139936,8.094416,10.49484,2023-07-06
18035,2023-06-30 09:18:00,19250.0,19068.75,1345250,61850,27.4,197.1,383850,32350,0.21657,-0.721998,0.00145484,0.00125575,8.080282,10.7022,2023-07-06
22537,2023-06-30 09:18:00,19300.0,19068.75,3627050,112300,17.5,237.3,863050,20650,0.151027,-0.771892,0.0011646,0.00109,8.057362,11.108992,2023-07-06
20287,2023-06-30 09:19:00,18800.0,19071.7,1088850,5056250,302.35,20.65,17500,389100,,-0.149588,,0.00081344,0.0,11.461226,2023-07-06
15783,2023-06-30 09:19:00,18850.0,19071.7,439450,2035100,259.0,26.65,15850,197900,0.924298,-0.187471,0.00083477,0.00096968,6.841337,11.118339,2023-07-06
11279,2023-06-30 09:19:00,18900.0,19071.7,2483600,6563100,217.0,34.55,80200,802200,0.850566,-0.234085,0.00124134,0.00113716,7.505262,10.802041,2023-07-06
6771,2023-06-30 09:19:00,18950.0,19071.7,704900,2097150,177.3,45.45,57100,351850,0.772294,-0.291375,0.00156178,0.00129836,7.744751,10.584673,2023-07-06
2261,2023-06-30 09:19:00,19000.0,19071.7,5128350,6333450,141.75,59.9,450900,886300,0.682459,-0.358045,0.00179766,0.00143169,7.943177,10.448132,2023-07-06
5,2023-06-30 09:19:00,19050.0,19071.7,1689300,1215150,109.8,77.6,399750,383100,0.58706,-0.431028,0.00194694,0.00152806,8.012135,10.301792,2023-07-06
4517,2023-06-30 09:19:00,19100.0,19071.7,3840500,1650900,82.6,100.2,685400,571800,0.488163,-0.508261,0.0019798,0.00155435,8.06861,10.279401,2023-07-06
9025,2023-06-30 09:19:00,19150.0,19071.7,1657550,337100,59.5,127.35,352050,81300,0.390428,-0.584709,0.00191199,0.00151244,8.041163,10.327427,2023-07-06
13531,2023-06-30 09:19:00,19200.0,19071.7,3634200,678100,41.15,159.9,785750,146350,0.298659,-0.654634,0.00173605,0.00139913,8.006666,10.553095,2023-07-06
18036,2023-06-30 09:19:00,19250.0,19071.7,1345250,61850,27.4,196.0,344250,19100,0.21828,-0.716191,0.00147772,0.0012549,7.990551,10.815938,2023-07-06
22538,2023-06-30 09:19:00,19300.0,19071.7,3627050,112300,17.45,235.35,769050,19700,0.151847,-0.767931,0.00118131,0.00109683,7.971261,11.145537,2023-07-06
20288,2023-06-30 09:20:00,18850.0,19075.5,478900,2107000,263.3,25.75,20200,238700,0.920644,-0.183026,0.0008367,0.00095833,7.073344,11.081977,2023-07-06
15784,2023-06-30 09:20:00,18900.0,19075.5,2601800,7738400,220.7,33.45,154400,1032250,0.852801,-0.229043,0.00121622,0.00112703,7.582341,10.76614,2023-07-06
11280,2023-06-30 09:20:00,18950.0,19075.5,732550,2247450,180.9,43.85,224450,415750,0.775786,-0.285265,0.00153145,0.00129344,7.828282,10.517796,2023-07-06
6772,2023-06-30 09:20:00,19000.0,19075.5,5206750,7673100,144.15,57.85,770400,1132750,0.689961,-0.35153,0.00178632,0.00143359,7.910849,10.365004,2023-07-06
2262,2023-06-30 09:20:00,19050.0,19075.5,2208000,1876000,112.4,75.55,776850,880550,0.594121,-0.424894,0.00193156,0.00153095,8.041255,10.251758,2023-07-06
6,2023-06-30 09:20:00,19100.0,19075.5,4424450,2532450,84.4,97.6,1294500,860350,0.495666,-0.502415,0.00198395,0.00156581,8.053619,10.204714,2023-07-06
4518,2023-06-30 09:20:00,19150.0,19075.5,1826900,434050,61.15,124.35,531300,129100,0.397799,-0.579664,0.00191976,0.00152909,8.048768,10.240899,2023-07-06
9026,2023-06-30 09:20:00,19200.0,19075.5,4273650,906950,42.45,155.85,934100,169850,0.305477,-0.651774,0.00175153,0.00142667,8.015602,10.379484,2023-07-06
13532,2023-06-30 09:20:00,19250.0,19075.5,1460650,104750,28.5,190.5,341950,25100,0.224648,-0.71747,0.00149725,0.00129102,8.015894,10.489042,2023-07-06
18037,2023-06-30 09:20:00,19300.0,19075.5,3986350,145300,18.2,231.7,807600,39300,0.156914,-0.765788,0.00120434,0.00111222,7.989241,11.046038,2023-07-06
22539,2023-06-30 09:20:00,19350.0,19075.5,1469550,18700,11.55,274.45,412750,750,0.106746,-0.805914,0.00091479,0.00095232,8.056984,11.562843,2023-07-06
20289,2023-06-30 09:21:00,18850.0,19075.8,478900,2107000,261.75,26.1,18300,179650,0.938365,-0.184073,0.00075277,0.00095631,6.4732,11.145405,2023-07-06
15785,2023-06-30 09:21:00,18900.0,19075.8,2601800,7738400,220.75,33.8,115600,573350,0.854382,-0.229861,0.00121359,0.00112337,7.544196,10.823227,2023-07-06
11281,2023-06-30 09:21:00,18950.0,19075.8,732550,2247450,181.3,44.3,209800,299200,0.775582,-0.286022,0.00152771,0.00128721,7.851822,10.582473,2023-07-06
6773,2023-06-30 09:21:00,19000.0,19075.8,5206750,7673100,144.9,58.45,566350,730200,0.689133,-0.35211,0.00177422,0.00142387,7.974375,10.442399,2023-07-06
2263,2023-06-30 09:21:00,19050.0,19075.8,2208000,1876000,112.55,75.9,477700,426350,0.594734,-0.424766,0.00193162,0.00152361,8.038273,10.300887,2023-07-06
7,2023-06-30 09:21:00,19100.0,19075.8,4424450,2532450,84.5,98.15,982050,543450,0.496252,-0.5019,0.00198528,0.00155518,8.048666,10.274941,2023-07-06
4519,2023-06-30 09:21:00,19150.0,19075.8,1826900,434050,61.55,125.05,849500,83400,0.398732,-0.578498,0.00191422,0.00151694,8.077418,10.329476,2023-07-06
9027,2023-06-30 09:21:00,19200.0,19075.8,4273650,906950,42.65,156.7,793450,123050,0.306258,-0.649779,0.00175097,0.00141458,8.02752,10.490563,2023-07-06
13533,2023-06-30 09:21:00,19250.0,19075.8,1460650,104750,28.5,193.2,351950,12700,0.22483,-0.710905,0.00149964,0.00126485,8.007136,10.824068,2023-07-06
18038,2023-06-30 09:21:00,19300.0,19075.8,3986350,145300,18.1,232.35,510300,28600,0.156545,-0.763209,0.00120604,0.00110788,7.965932,11.156969,2023-07-06
22540,2023-06-30 09:21:00,19350.0,19075.8,1469550,18700,11.55,277.25,346950,400,0.106816,-0.79702,0.00091601,0.00094395,8.050352,11.98542,2023-07-06
20290,2023-06-30 09:22:00,18850.0,19078.1,478900,2107000,266.9,25.85,11200,142500,0.91289,-0.182369,0.00085589,0.00094871,7.41673,11.168954,2023-07-06
15786,2023-06-30 09:22:00,18900.0,19078.1,2601800,7738400,224.25,33.5,87850,473700,0.848474,-0.227837,0.00120172,0.0011149,7.8235,10.85069,2023-07-06
