id,timestamp,strike,spot,call_oi,put_oi,call_price,put_price,call_volume,put_volume,call_delta,put_delta,call_gamma,put_gamma,call_iv,put_iv,expiry
23647,2024-05-21 09:15:00,22250.0,22488.25,367500,1453125,322.85,44.55,24050,222300,0.644968,-0.32453,0.00049203,0.00059135,23.865144,19.184609,2024-05-28
18393,2024-05-21 09:15:00,22300.0,22488.25,875900,3499250,282.2,53.9,105850,619500,0.623858,-0.351014,0.00052111,0.00062812,22.972558,18.618471,2024-05-28
13138,2024-05-21 09:15:00,22350.0,22488.25,597700,1675300,244.6,65.05,95050,340525,0.59981,-0.379748,0.00054625,0.00066596,22.30971,18.028774,2024-05-28
7884,2024-05-21 09:15:00,22400.0,22488.25,2167075,4853625,208.5,78.3,750025,1016200,0.574134,-0.410963,0.00057295,0.00070454,21.580665,17.412549,2024-05-28
2629,2024-05-21 09:15:00,22450.0,22488.25,1082025,1685050,173.7,94.4,580050,609675,0.546605,-0.445086,0.00060298,0.00074071,20.7246,16.825983,2024-05-28
1,2024-05-21 09:15:00,22500.0,22488.25,4337075,3844950,142.0,113.0,1426200,939850,0.51652,-0.481984,0.00062987,0.00077782,19.959326,16.160133,2024-05-28
5256,2024-05-21 09:15:00,22550.0,22488.25,1119500,487600,113.8,134.8,567150,148875,0.484165,-0.522186,0.00065162,0.00081276,19.29432,15.457297,2024-05-28
10511,2024-05-21 09:15:00,22600.0,22488.25,2188950,624725,89.55,160.75,758750,142300,0.450131,-0.565627,0.00066543,0.00083886,18.760858,14.796168,2024-05-28
15765,2024-05-21 09:15:00,22650.0,22488.25,1065950,208150,69.0,189.5,319675,40100,0.415018,-0.614013,0.00067152,0.00086748,18.31076,13.908212,2024-05-28
21020,2024-05-21 09:15:00,22700.0,22488.25,2789000,245900,51.45,222.35,615475,31325,0.378758,-0.668314,0.00067264,0.00088744,17.8356,12.89707,2024-05-28
26272,2024-05-21 09:15:00,22750.0,22488.25,1326650,50550,37.75,258.45,395775,7975,0.343004,-0.736811,0.00066252,0.0009058,17.501608,11.365201,2024-05-28
23648,2024-05-21 09:16:00,22200.0,22469.8,1033800,3606550,346.8,38.45,32050,314975,0.659707,-0.307172,0.00048152,0.00057332,24.028807,19.346962,2024-05-28
18394,2024-05-21 09:16:00,22250.0,22469.8,367500,1453125,304.3,46.9,7075,142800,0.64032,-0.33279,0.00051347,0.00060914,22.992875,18.83055,2024-05-28
13139,2024-05-21 09:16:00,22300.0,22469.8,875900,3499250,264.95,57.15,91650,480400,0.61741,-0.360645,0.0005413,0.00064525,22.250275,18.314028,2024-05-28
7885,2024-05-21 09:16:00,22350.0,22469.8,597700,1675300,226.75,69.2,79450,372400,0.592877,-0.390579,0.00057206,0.00068276,21.415038,17.746832,2024-05-28
2630,2024-05-21 09:16:00,22400.0,22469.8,2167075,4853625,191.1,83.8,596275,1238550,0.565814,-0.423187,0.00060121,0.00071874,20.661143,17.195783,2024-05-28
2,2024-05-21 09:16:00,22450.0,22469.8,1082025,1685050,159.3,100.9,338925,596575,0.536175,-0.458351,0.00062329,0.00075463,20.121746,16.597186,2024-05-28
5257,2024-05-21 09:16:00,22500.0,22469.8,4337075,3844950,129.25,120.7,1016375,985150,0.504725,-0.496431,0.00064744,0.00079068,19.449902,15.926702,2024-05-28
10512,2024-05-21 09:16:00,22550.0,22469.8,1119500,487600,102.5,144.6,538425,238625,0.471193,-0.537559,0.00066707,0.00081797,18.829633,15.327672,2024-05-28
15766,2024-05-21 09:16:00,22600.0,22469.8,2188950,624725,79.95,172.35,696825,215400,0.43632,-0.581523,0.00067697,0.00083766,18.365106,14.719141,2024-05-28
21021,2024-05-21 09:16:00,22650.0,22469.8,1065950,208150,61.3,202.65,284450,62450,0.400937,-0.630637,0.00067737,0.00086103,18.015625,13.834668,2024-05-28
26273,2024-05-21 09:16:00,22700.0,22469.8,2789000,245900,45.55,238.0,448300,41950,0.364864,-0.682708,0.00067259,0.00086317,17.639069,13.03157,2024-05-28
23649,2024-05-21 09:17:00,22200.0,22467.4,1033800,3606550,338.85,38.85,21600,303525,0.665157,-0.308425,0.00050161,0.00057485,22.926176,19.333233,2024-05-28
18395,2024-05-21 09:17:00,22250.0,22467.4,367500,1453125,297.0,47.45,4400,142075,0.644241,-0.334235,0.00053334,0.00061033,22.055175,18.828899,2024-05-28
13140,2024-05-21 09:17:00,22300.0,22467.4,875900,3499250,258.8,57.6,82175,405275,0.619456,-0.361951,0.00055842,0.00064741,21.536526,18.278259,2024-05-28
7886,2024-05-21 09:17:00,22350.0,22467.4,597700,1675300,221.2,70.0,74625,288800,0.593777,-0.392229,0.00058842,0.00068358,20.811273,17.749281,2024-05-28
2631,2024-05-21 09:17:00,22400.0,22467.4,2167075,4853625,184.85,85.3,606350,1066725,0.566214,-0.425231,0.00062229,0.00071602,19.960912,17.28111,2024-05-28
3,2024-05-21 09:17:00,22450.0,22467.4,1082025,1685050,153.85,102.75,325000,653500,0.535386,-0.460365,0.00064229,0.00075012,19.533125,16.708225,2024-05-28
5258,2024-05-21 09:17:00,22500.0,22467.4,4337075,3844950,124.45,123.1,810900,1228800,0.502962,-0.498256,0.00066513,0.00078272,18.936206,16.091728,2024-05-28
10513,2024-05-21 09:17:00,22550.0,22467.4,1119500,487600,98.2,147.85,340200,184625,0.468539,-0.538701,0.00068399,0.00080382,18.35733,15.595612,2024-05-28
15767,2024-05-21 09:17:00,22600.0,22467.4,2188950,624725,76.5,176.6,460125,150925,0.433077,-0.581059,0.00069075,0.00081504,17.977386,15.133583,2024-05-28
21022,2024-05-21 09:17:00,22650.0,22467.4,1065950,208150,58.6,208.1,258450,48475,0.397359,-0.62665,0.00068802,0.00082553,17.697376,14.481974,2024-05-28
26274,2024-05-21 09:17:00,22700.0,22467.4,2789000,245900,43.5,243.2,362200,34775,0.361136,-0.675736,0.00068041,0.00082705,17.378326,13.726706,2024-05-28
23650,2024-05-21 09:18:00,22200.0,22444.35,1030600,3792650,319.0,43.15,24325,432850,0.656145,-0.320934,0.00051727,0.00058858,22.484258,19.226673,2024-05-28
18396,2024-05-21 09:18:00,22250.0,22444.35,368025,1487200,278.0,52.75,12775,224175,0.634018,-0.347829,0.00054917,0.00062306,21.651912,18.746452,2024-05-28
13141,2024-05-21 09:18:00,22300.0,22444.35,899025,3707550,241.6,63.6,92950,494350,0.607595,-0.376187,0.00057063,0.0006611,21.287816,18.146607,2024-05-28
7887,2024-05-21 09:18:00,22350.0,22444.35,601925,1792100,202.55,77.15,67500,360200,0.582191,-0.407478,0.0006108,0.00069633,20.203827,17.618671,2024-05-28
2632,2024-05-21 09:18:00,22400.0,22444.35,2296275,4996750,169.4,94.15,736250,1512400,0.552422,-0.441596,0.0006355,0.00072492,19.669499,17.20688,2024-05-28
4,2024-05-21 09:18:00,22450.0,22444.35,1361625,1975725,138.9,114.0,332350,762725,0.520753,-0.477744,0.00065807,0.00075082,19.134711,16.767416,2024-05-28
5259,2024-05-21 09:18:00,22500.0,22444.35,4700300,4362750,112.4,135.0,1029175,1187125,0.4874,-0.516425,0.00067194,0.0007866,18.755642,16.016223,2024-05-28
10514,2024-05-21 09:18:00,22550.0,22444.35,1434725,662700,88.15,160.9,384875,263375,0.452472,-0.557856,0.00068576,0.00080806,18.25619,15.439663,2024-05-28
15768,2024-05-21 09:18:00,22600.0,22444.35,2520650,713575,67.85,193.05,405675,209475,0.416639,-0.598981,0.00069022,0.00080144,17.867841,15.246115,2024-05-28
