id,timestamp,strike,spot,call_oi,put_oi,call_price,put_price,call_volume,put_volume,call_delta,put_delta,call_gamma,put_gamma,call_iv,put_iv,expiry
23626,2025-09-23 09:15:00,25000.0,25237.45,1027875,10312350,250.9,2.9,196200,4335075,0.661202,-0.290485,0.00054296,0.00068476,18.94,14.06,2025-09-30
18376,2025-09-23 09:15:00,25050.0,25237.45,212700,5008875,202.85,4.35,156450,3036300,0.647588,-0.310487,0.00061713,0.00077635,16.91,12.78,2025-09-30
13126,2025-09-23 09:15:00,25100.0,25237.45,1261575,8695275,155.3,7.65,771750,4608600,0.631319,-0.34033,0.00071905,0.00086712,14.74,11.88,2025-09-30
7876,2025-09-23 09:15:00,25150.0,25237.45,1861725,7196850,111.5,13.65,1675425,5257350,0.604374,-0.376115,0.00081829,0.00097237,13.23,10.97,2025-09-30
2626,2025-09-23 09:15:00,25200.0,25237.45,11827950,15177225,72.0,24.8,7655625,10666875,0.569188,-0.420552,0.00093032,0.00107839,11.87,10.19,2025-09-30
1,2025-09-23 09:15:00,25250.0,25237.45,10662300,5202975,41.85,44.0,11682900,5612925,0.523189,-0.473649,0.00099759,0.00117886,11.22,9.49,2025-09-30
5251,2025-09-23 09:15:00,25300.0,25237.45,20685825,4957125,23.1,75.3,10140825,2345325,0.473682,-0.533143,0.00098655,0.00119499,11.34,9.35,2025-09-30
10501,2025-09-23 09:15:00,25350.0,25237.45,13867800,1585650,13.35,115.5,5585775,653550,0.429988,-0.592405,0.00091154,0.00117058,12.11,9.32,2025-09-30
15751,2025-09-23 09:15:00,25400.0,25237.45,18158475,2575200,8.15,160.1,5963850,530700,0.394358,-0.69687,0.00082442,0.00140448,13.12,6.99,2025-09-30
21001,2025-09-23 09:15:00,25450.0,25237.45,11209725,608700,4.9,207.0,4047900,108450,0.363333,,0.00075338,,14.0,0.0,2025-09-30
26251,2025-09-23 09:15:00,25500.0,25237.45,22999275,1228425,3.4,255.55,6302100,195075,0.358153,,0.00061341,,17.11,0.0,2025-09-30
23627,2025-09-23 09:16:00,24950.0,25221.3,58650,3674700,283.9,1.85,5325,1479600,0.662764,-0.271274,0.00048454,0.00064998,21.2,14.34,2025-09-30
