id,timestamp,strike,spot,call_oi,put_oi,call_price,put_price,call_volume,put_volume,call_delta,put_delta,call_gamma,put_gamma,call_iv,put_iv,expiry
20242,2026-04-28 09:15:00,23800.0,24034.3,779220,5759325,226.7,5.45,412165,6885385,,-0.33282,,0.00057118,0.0,18.774647,2026-05-05
15744,2026-04-28 09:15:00,23850.0,24034.3,354510,2692365,181.1,9.45,169715,3794700,,-0.358436,,0.00060476,0.0,18.228656,2026-05-05
11246,2026-04-28 09:15:00,23900.0,24034.3,1287845,6896955,140.15,16.9,965445,8206120,0.683247,-0.388467,0.00100864,0.00062569,10.418219,18.075941,2026-05-05
6748,2026-04-28 09:15:00,23950.0,24034.3,609635,3363880,99.0,29.8,1307995,4883840,0.616879,-0.421283,0.00095498,0.00062878,11.795261,18.358088,2026-05-05
2250,2026-04-28 09:15:00,24000.0,24034.3,5327270,11346075,67.6,48.9,7813520,12685010,0.561579,-0.453899,0.00087807,0.0006216,13.247993,18.813336,2026-05-05
1,2026-04-28 09:15:00,24050.0,24034.3,2179645,4052750,43.5,74.95,7062185,4843540,0.516785,-0.485251,0.00083427,0.0006026,14.099368,19.523983,2026-05-05
4499,2026-04-28 09:15:00,24100.0,24034.3,6976450,6639685,26.8,104.75,8555235,4273880,0.476804,-0.515166,0.00079119,0.00059852,14.855231,19.656106,2026-05-05
8997,2026-04-28 09:15:00,24150.0,24034.3,2874690,1395745,15.95,146.45,5500235,924690,0.440806,-0.538759,0.00074777,0.00053115,15.570672,22.060907,2026-05-05
13495,2026-04-28 09:15:00,24200.0,24034.3,7206420,2616575,9.6,187.5,9184565,1042080,0.409478,-0.561098,0.00069706,0.00050032,16.453128,23.254893,2026-05-05
17993,2026-04-28 09:15:00,24250.0,24034.3,2764255,361400,5.95,233.7,4820140,187330,0.382815,-0.576602,0.00064487,0.00045042,17.4632,25.654918,2026-05-05
22491,2026-04-28 09:15:00,24300.0,24034.3,7397520,1181895,3.8,284.35,6168565,188435,0.360087,-0.583488,0.00059573,0.00038778,18.534263,29.693183,2026-05-05
20243,2026-04-28 09:16:00,23800.0,24064.45,900120,7142005,257.65,4.0,335400,5323240,,-0.319587,,0.00054791,0.0,19.227504,2026-05-05
15745,2026-04-28 09:16:00,23850.0,24064.45,405925,4014010,207.0,6.8,233610,4281810,,-0.342809,,0.00058412,0.0,18.547503,2026-05-05
11247,2026-04-28 09:16:00,23900.0,24064.45,1631110,9150245,162.25,11.85,1271335,7069985,,-0.369834,,0.00061514,0.0,18.089166,2026-05-05
6749,2026-04-28 09:16:00,23950.0,24064.45,1120730,5471375,122.45,20.75,1776970,5735275,0.658229,-0.400407,0.0010073,0.00063514,10.743045,17.933895,2026-05-05
2251,2026-04-28 09:16:00,24000.0,24064.45,8182135,16911505,87.05,34.65,7738900,12888005,0.589659,-0.432477,0.00088451,0.00064745,12.95715,17.90129,2026-05-05
