id,timestamp,strike,spot,call_oi,put_oi,call_price,put_price,call_volume,put_volume,call_delta,put_delta,call_gamma,put_gamma,call_iv,put_iv,expiry
39751,2026-06-17 09:15:00,23500.0,24006.9,899665,3431610,538.15,23.4,28990,550940,,-0.109779,,0.00042441,0.0,14.076131,2026-06-23
36001,2026-06-17 09:15:00,23550.0,24006.9,96850,799890,493.45,28.1,21905,449345,,-0.129507,,0.00048403,0.0,13.868853,2026-06-23
32251,2026-06-17 09:15:00,23600.0,24006.9,1039675,2576340,452.8,34.3,23075,666445,0.958895,-0.153661,0.00034922,0.00054842,8.026678,13.745244,2026-06-23
28501,2026-06-17 09:15:00,23650.0,24006.9,95875,2036775,411.3,41.75,5525,351325,0.90626,-0.18127,0.00056835,0.0006151,9.369116,13.633,2026-06-23
24751,2026-06-17 09:15:00,23700.0,24006.9,706615,2855515,368.05,50.85,48100,812565,0.868791,-0.212832,0.00070693,0.00068178,9.582116,13.555541,2026-06-23
21001,2026-06-17 09:15:00,23750.0,24006.9,124345,935805,328.5,61.9,26000,394420,0.820196,-0.248341,0.00083679,0.0007453,9.97025,13.517913,2026-06-23
17251,2026-06-17 09:15:00,23800.0,24006.9,1136980,2301000,289.45,75.6,138320,672620,0.772313,-0.288035,0.00095246,0.00080051,10.08594,13.561687,2026-06-23
13501,2026-06-17 09:15:00,23850.0,24006.9,330980,619450,255.85,90.55,118365,391560,0.714429,-0.329352,0.00103245,0.0008505,10.472337,13.537128,2026-06-23
9751,2026-06-17 09:15:00,23900.0,24006.9,2763930,3288610,224.15,108.05,605865,1095640,0.656799,-0.373287,0.00108958,0.00088885,10.737701,13.553842,2026-06-23
6001,2026-06-17 09:15:00,23950.0,24006.9,1124565,1402245,195.1,128.1,526370,603655,0.598702,-0.418881,0.00112152,0.000914,10.969609,13.599357,2026-06-23
4126,2026-06-17 09:15:00,24000.0,24006.9,6496360,5390970,167.5,150.7,2486120,1996735,0.541361,-0.465226,0.00113931,0.00092519,11.081141,13.667255,2026-06-23
7876,2026-06-17 09:15:00,24050.0,24006.9,730275,331565,142.4,175.75,1298635,781950,0.484374,-0.511471,0.00113586,0.00092289,11.166274,13.748021,2026-06-23
11626,2026-06-17 09:15:00,24100.0,24006.9,2110550,543790,120.5,203.0,1519895,453895,0.428895,-0.556954,0.00110689,0.0009088,11.284743,13.824235,2026-06-23
15376,2026-06-17 09:15:00,24150.0,24006.9,703235,70980,99.7,235.1,580190,119860,0.374595,-0.599526,0.00106952,0.00087127,11.276686,14.11279,2026-06-23
19126,2026-06-17 09:15:00,24200.0,24006.9,2603640,429455,83.0,267.95,893425,168090,0.324571,-0.640211,0.00100458,0.00083217,11.393025,14.301024,2026-06-23
22876,2026-06-17 09:15:00,24250.0,24006.9,1475370,36920,68.5,299.0,546650,35750,0.278331,-0.682126,0.00092884,0.00080052,11.497413,14.173514,2026-06-23
26626,2026-06-17 09:15:00,24300.0,24006.9,2359825,230750,56.95,337.15,870285,47125,0.237911,-0.716058,0.00084275,0.00074377,11.680662,14.497387,2026-06-23
30376,2026-06-17 09:15:00,24350.0,24006.9,567060,19955,45.9,376.35,259870,10335,0.199332,-0.747277,0.00075802,0.00068784,11.727433,14.783565,2026-06-23
34126,2026-06-17 09:15:00,24400.0,24006.9,2051985,162045,37.2,419.55,603460,8645,0.166451,-0.771354,0.00067092,0.0006278,11.838648,15.337991,2026-06-23
37876,2026-06-17 09:15:00,24450.0,24006.9,581880,10985,30.4,461.4,491335,1040,0.139013,-0.796045,0.00058699,0.00057559,12.006442,15.657849,2026-06-23
41626,2026-06-17 09:15:00,24500.0,24006.9,4455035,293150,24.45,506.35,1135485,37895,0.114571,-0.814512,0.00050793,0.00052462,12.126291,16.215165,2026-06-23
39752,2026-06-17 09:16:00,23500.0,24003.65,897195,3537300,527.25,24.9,15665,664430,,-0.114239,,0.00043089,0.0,14.267599,2026-06-23
36002,2026-06-17 09:16:00,23550.0,24003.65,80275,928720,479.55,30.35,1495,304265,,-0.135643,,0.0004902,0.0,14.140897,2026-06-23
32252,2026-06-17 09:16:00,23600.0,24003.65,1041755,2730325,437.3,36.7,10660,548665,,-0.159775,,0.00055262,0.0,13.998377,2026-06-23
28502,2026-06-17 09:16:00,23650.0,24003.65,96265,2094625,394.9,44.7,4030,366210,,-0.188082,,0.00061668,0.0,13.916146,2026-06-23
24752,2026-06-17 09:16:00,23700.0,24003.65,701675,3062345,356.5,54.25,67665,492440,0.90462,-0.219881,0.00066466,0.00068007,8.11621,13.850963,2026-06-23
21002,2026-06-17 09:16:00,23750.0,24003.65,129025,953485,317.75,65.85,15405,220870,0.843458,-0.255524,0.0008538,0.00073952,8.939661,13.832837,2026-06-23
17252,2026-06-17 09:16:00,23800.0,24003.65,1136460,2436980,282.7,79.65,70850,468195,0.779353,-0.294478,0.00097946,0.00079202,9.63637,13.851997,2026-06-23
13502,2026-06-17 09:16:00,23850.0,24003.65,335400,742560,248.2,95.3,53235,284960,0.720266,-0.335646,0.00107349,0.00083708,9.974378,13.860384,2026-06-23
9752,2026-06-17 09:16:00,23900.0,24003.65,2778945,3810040,216.15,114.15,278590,632515,0.660124,-0.37949,0.00113908,0.00086742,10.235141,13.963029,2026-06-23
6002,2026-06-17 09:16:00,23950.0,24003.65,1167335,1604590,186.9,135.0,296140,493220,0.599295,-0.424092,0.00117553,0.00088731,10.463511,14.048073,2026-06-23
4127,2026-06-17 09:16:00,24000.0,24003.65,6845020,6106555,161.0,158.5,1613950,1526135,0.538757,-0.469098,0.00117969,0.00089346,10.710906,14.166693,2026-06-23
7877,2026-06-17 09:16:00,24050.0,24003.65,1269450,657540,136.9,184.05,935805,551070,0.479981,-0.513675,0.00116714,0.00088903,10.863723,14.271858,2026-06-23
